hash,author,author_date,committer,committer_date,msg,parents,num_of_files,num_of_modified_java_files,added_lines,deleted_lines,nloc,jira issue key,summary,issue type,status,resolution,code_smells,code_smells_diff,design_smells,design_smell_diff,architecture_smells,architecture_smell_diff
d259928035fa6de20986a5afaf5d2569650ef6a8,Vinayakumar B,2020-10-23 11:18:02+05:18,GitHub,2020-10-23 11:18:02+05:18,HADOOP-17306. RawLocalFileSystem's lastModifiedTime() looses milli seconds in JDK < 10.b09 (#2387),['da1b6e3cc286db00b385f3280627d2b2063b4e59'],2.0,2.0,32.0,3.0,973.0,HADOOP-17306,RawLocalFileSystem's lastModifiedTime() loses milli seconds in JDK < 10.b09,Bug,Reopened,,9315,3,1981.0,0.0,297.0,0.0
ebe1d1fbf7a7549078e5a468080513db09b6416f,Ahmed Hussein,2020-11-13 14:22:35-06:00,GitHub,2020-11-13 14:22:35-06:00,HADOOP-17362. reduce RPC calls doing ls on HAR file (#2444). Contributed by Daryn Sharp and Ahmed Hussein,['f56cd88d7d9381d13329d25bb4f367e5378b6b5b'],3.0,3.0,38.0,40.0,1414.0,HADOOP-17362,Doing hadoop ls on Har file triggers too many RPC calls,Bug,Resolved,Fixed,9313,-2,1980.0,-1.0,297.0,0.0
b1abb10ea273b53896afbf766ea16a59138ce6e9,dgzdot,2021-01-06 05:09:41+08:00,GitHub,2021-01-05 21:09:41+00:00,"HADOOP-17430. Restore ability to set Text to empty byte array (#2545)



Contributed by gaozhan.ding",['42eb9ff68e3786dce44a89e78d9a5dc3603ec2fc'],2.0,2.0,28.0,2.0,814.0,HADOOP-17430, Restore ability to set Text to empty byte array,Wish,Resolved,Fixed,9367,54,2013.0,33.0,313.0,16.0
1a205cc3adffa568c814a5241e041b08e2fcd3eb,Siyao Meng,2021-01-31 20:42:44-08:00,GitHub,2021-02-01 13:42:44+09:00,HADOOP-17424. Replace HTrace with No-Op tracer (#2645),['6fafdd76829a14a6b95a392c31b45ae1510bf4b6'],69.0,57.0,371.0,1701.0,28873.0,HADOOP-17424,Replace HTrace with No-Op tracer,Sub-task,Resolved,Fixed,9349,-18,2011.0,-2.0,311.0,-2.0
d8ec8ab9653f628fa6ed16baf4c9e7681266ae8f,Jack Jiang,2021-03-23 23:46:11+08:00,GitHub,2021-03-23 08:46:11-07:00,HADOOP-17599. Remove NULL checks before instanceof (#2804),['d77c7ab4e0604484ec3c48ac2acb32ea71a53d9a'],17.0,17.0,20.0,21.0,2085.0,HADOOP-17599,Remove NULL checks before instanceof,Improvement,Resolved,Fixed,9352,3,2011.0,0.0,312.0,1.0
e86050fae52807f985896205895ca87da1aed719,"Boyina, Hemanth Kumar",2021-04-06 17:54:10+05:18,"Boyina, Hemanth Kumar",2021-04-06 17:54:10+05:18,HADOOP-17588. CryptoInputStream#close() should be syncronized. Contributed by RenukaPrasad C,['36014b8282579ac3d89b62a05586206fb6e0adcf'],1.0,1.0,1.0,1.0,641.0,HADOOP-17588,CryptoInputStream#close() should be synchronized,Bug,Resolved,Fixed,9379,27,2015.0,4.0,312.0,0.0
f40e3eb0590f85bb42d2471992bf5d524628fdd6,hchaverr,2021-05-06 16:40:45-07:00,Konstantin V Shvachko,2021-05-06 16:42:27-07:00,HADOOP-17680. Allow ProtobufRpcEngine to be extensible (#2905) Contributed by Hector Chaverri.,['7cb7b8adc137239682e6189d1663b6b868757938'],2.0,2.0,48.0,12.0,888.0,HADOOP-17680,Allow ProtobufRpcEngine to be extensible,Improvement,Resolved,Fixed,9372,-7,2012.0,-3.0,312.0,0.0
c665ab02ed5c400b0c5e9e350686cd0e5b5e6972,Mehakmeet Singh,2021-05-24 17:20:11+05:18,GitHub,2021-05-24 13:02:11+01:00,"HADOOP-17670. S3AFS and ABFS to log IOStats at DEBUG mode or optionally at INFO level in close() (#2963)


When the S3A and ABFS filesystems are closed,
their IOStatistics are logged at debug in the log:

org.apache.hadoop.fs.statistics.IOStatisticsLogging

Set `fs.iostatistics.logging.level` to `info` for the statistics 
to be logged at info. (also: `warn` or `error` for even higher
log levels).


Contributed by: Mehakmeet Singh",['1576f81dfe0156514ec06b6051e5df7928a294e2'],6.0,6.0,87.0,7.0,4992.0,HADOOP-17670,S3AFS and ABFS to log IOStats at DEBUG mode or optionally at INFO level in close(),Sub-task,Resolved,Fixed,9945,573,2126.0,114.0,313.0,1.0
ba325a8ada573291266c4d6447862072fdf88af5,Artem Smotrakov,2021-07-10 06:42:31+02:00,GitHub,2021-07-10 13:42:31+09:00,"HADOOP-17793. Better token validation (#3189)

Signed-off-by: Akira Ajisaka <aajisaka@apache.org>",['6ac5d8a1ed6ec3f6de7af3b8a79869830a4377ee'],3.0,3.0,8.0,7.0,2409.0,HADOOP-17793,Better token validation,Bug,Resolved,Fixed,9966,21,2136.0,10.0,310.0,-3.0
ee466d4b4002bc21b66f9c944263559a955c3055,Steve Loughran,2021-08-02 11:36:43+01:00,GitHub,2021-08-02 11:36:43+01:00,"HADOOP-17628. Distcp contract test is really slow with ABFS and S3A; timing out. (#3240)


This patch cuts down the size of directory trees used for
distcp contract tests against object stores, so making
them much faster against distant/slow stores.

On abfs, the test only runs with -Dscale (as was the case for s3a already),
and has the larger scale test timeout.

After every test case, the FileSystem IOStatistics are logged,
to provide information about what IO is taking place and
what it's performance is.

There are some test cases which upload files of 1+ MiB; you can
increase the size of the upload in the option
""scale.test.distcp.file.size.kb"" 
Set it to zero and the large file tests are skipped.

Contributed by Steve Loughran.",['efb3fa2bf5e2d4e371c9143719948ad7520c2768'],6.0,5.0,137.0,103.0,1238.0,HADOOP-17628,Distcp contract test is really slow with ABFS and S3A; timing out,Sub-task,Resolved,Fixed,9976,10,2140.0,4.0,310.0,0.0
99a157fa4ad174c4ff979414af2edb67a98eb9fe,Viraj Jasani,2021-09-03 06:43:33+05:18,GitHub,2021-09-03 10:25:33+09:00,"HADOOP-17874. ExceptionsHandler to add terse/suppressed Exceptions in thread-safe manner (#3343)

Signed-off-by: Akira Ajisaka <aajisaka@apache.org>",['051207375b30ffa126cf9c961ee97535c1dfabb1'],1.0,1.0,14.0,24.0,2848.0,HADOOP-17874,ExceptionsHandler to add terse/suppressed Exceptions in thread-safe manner,Bug,Resolved,Fixed,9976,0,2142.0,2.0,310.0,0.0
52c024cc3aac2571e60e69c7f8b620299aad8e27,Mehakmeet Singh,2021-09-16 02:45:28+05:18,GitHub,2021-09-15 22:27:28+01:00,"HADOOP-17195. OutOfMemory error while performing hdfs CopyFromLocal to ABFS (#3406)


This migrates the fs.s3a-server-side encryption configuration options
to a name which covers client-side encryption too.

fs.s3a.server-side-encryption-algorithm becomes fs.s3a.encryption.algorithm
fs.s3a.server-side-encryption.key becomes fs.s3a.encryption.key

The existing keys remain valid, simply deprecated and remapped
to the new values. If you want server-side encryption options
to be picked up regardless of hadoop versions, use
the old keys.

(the old key also works for CSE, though as no version of Hadoop
with CSE support has shipped without this remapping, it's less
relevant)


Contributed by: Mehakmeet Singh",['43f0a34dd48eb7f1018fe93a5c7e9e4e29c2ba2f'],20.0,19.0,2204.0,277.0,5825.0,HADOOP-17195,Intermittent OutOfMemory error while performing hdfs CopyFromLocal to abfs ,Sub-task,Resolved,Fixed,10000,24,2142.0,0.0,311.0,1.0
211db3fe0804b47967b4e103f61a12370ee953e3,litao,2021-10-01 10:21:14+08:00,GitHub,2021-10-01 10:21:14+08:00,"HADOOP-17938. Print lockWarningThreshold in InstrumentedLock#logWarni… (#3485)

Reviewed-by: Hui Fei <ferhui@apache.org>",['ed8e8793205a4c98e5a722875ea7b96b3181644d'],1.0,1.0,4.0,4.0,188.0,HDFS-16246,Print lockWarningThreshold in InstrumentedLock#logWarning and InstrumentedLock#logWaitWarning,Improvement,Resolved,Fixed,0,0,2145.0,3.0,311.0,0.0
516f36c6f14c917d85df681b86349d7416693000,Viraj Jasani,2021-10-21 13:12:25+05:18,GitHub,2021-10-21 16:54:25+09:00,HADOOP-17967. Keep restrict-imports-enforcer-rule for Guava VisibleForTesting in hadoop-main pom (#3555),['d2869940094d330434f3e82d16b1cad3c6023437'],28.0,1.0,3.0,3.0,2848.0,HADOOP-17967,Keep restrict-imports-enforcer-rule for Guava VisibleForTesting in hadoop-main pom,Task,Resolved,Fixed,0,0,2144.0,-1.0,312.0,1.0
9c887e5b82d1b49fa64b491798748917cf7e9b8d,Takanobu Asanuma,2021-11-25 14:05:04+09:00,GitHub,2021-11-25 14:05:04+09:00,"HADOOP-18014. CallerContext should not include some characters. (#3698)

Reviewed-by: Viraj Jasani <vjasani@apache.org>
Reviewed-by: Mingliang Liu <liuml07@apache.org>
Reviewed-by: Hui Fei <ferhui@apache.org>",['cdc13e91b619159dc4bf185ad53b950bdf5de52a'],3.0,3.0,40.0,13.0,7546.0,HADOOP-18014,CallerContext should not include some characters,Task,Resolved,Fixed,0,0,2147.0,3.0,312.0,0.0
f64fda0f00b22793a9c5ea10f9d73ef33fa2b563,Viraj Jasani,2022-01-06 15:14:49+05:18,GitHub,2022-01-06 17:56:49+08:00,"HADOOP-18055. Async Profiler endpoint for Hadoop daemons (#3824)

Reviewed-by: Akira Ajisaka <aajisaka@apache.org>",['da0a6ba1ce7667f1f58cc0f766ce65d126efcaf2'],11.0,6.0,715.0,0.0,1824.0,HADOOP-18055,Async Profiler endpoint for Hadoop daemons,New Feature,Resolved,Fixed,0,0,2152.0,5.0,313.0,1.0
12fa38d546e2de84fb89bee60aea9345ad35b46a,Owen O'Malley,2022-02-23 16:17:53-08:00,Owen O'Malley,2022-02-24 15:01:50-08:00,"HADOOP-18139: Allow configuration of zookeeper server principal.

Fixes #4024

Signed-off-by: Owen O'Malley <oomalley@linkedin.com>",['6b07c851f3f33688f0998bcee3de615901a3df2d'],3.0,3.0,36.0,0.0,1343.0,HADOOP-18139,Allow configuration of zookeeper server principal,Improvement,Resolved,Fixed,0,0,2157.0,5.0,313.0,0.0
15a5ea2c955a7d1b89aea0cb127727a57db76c76,Xing Lin,2022-03-31 14:59:09-07:00,GitHub,2022-03-31 21:59:09+00:00,"HADOOP-18169. getDelegationTokens in ViewFs should also fetch the token from fallback FS (#4094)

HADOOP-18169. getDelegationTokens in ViewFs should also fetch the token from the fallback FS",['94031b729d01d337268dc2f5ae286de71c768b02'],2.0,2.0,33.0,0.0,1551.0,HADOOP-18169,getDelegationTokens in ViewFs should also fetch the token from the fallback FS,Bug,Resolved,Fixed,0,0,2169.0,12.0,314.0,1.0
21fa693d38a0ea684899ac12729e1785f95e622f,Ashutosh Gupta,2022-05-30 17:34:06+01:00,GitHub,2022-05-30 17:34:06+01:00,"HADOOP-18238. Fix reentrancy check in SFTPFileSystem.close() (#4330)


Contributed by Ashutosh Gupta",['ba6520f67f4aed65f7a8290dd7999322e3fe9c88'],1.0,1.0,3.0,3.0,549.0,HADOOP-18238,Fix reentrancy check in SFTPFileSystem.close(),Bug,Resolved,Fixed,0,0,2181.0,12.0,312.0,-2.0
43112bd472661b4044808210a77ae938a120934f,swamirishi,2022-06-27 17:20:58-07:00,GitHub,2022-06-27 17:20:58-07:00,HADOOP-18306: Warnings should not be shown on cli console when linux user not present on client (#4474). Contributed by swamirishi.,['823f5ee0d4cc508a709baf836a31b1400dd1f20c'],1.0,1.0,1.0,1.0,196.0,HADOOP-18306,Warnings should not be shown on cli console when linux user not present on client,New Feature,Resolved,Fixed,0,0,2182.0,1.0,311.0,-1.0
a5b12c8010447901d269309633f500287cf0d636,Mukund Thakur,2022-07-28 21:45:37+05:18,GitHub,2022-07-28 21:45:37+05:18,"HADOOP-18227. Add input stream IOStats for vectored IO api in S3A. (#4636)

part of HADOOP-18103.

Contributed By: Mukund Thakur",['bf570bd4acd9ebccada80a68aa1c5fbf73ca60bf'],10.0,10.0,303.0,35.0,4418.0,HADOOP-18227,Add input stream IOstats for vectored IO api in S3A.,Sub-task,Resolved,Fixed,0,0,2191.0,9.0,311.0,0.0
682931a6ace460d829954398eddecefeeac82b34,Steve Loughran,2022-08-18 13:53:06+01:00,GitHub,2022-08-18 13:53:06+01:00,"HADOOP-18028. High performance S3A input stream (#4752)


This is the the preview release of the HADOOP-18028 S3A performance input stream.
It is still stabilizing, but ready to test.

Contains

HADOOP-18028. High performance S3A input stream (#4109)
	Contributed by Bhalchandra Pandit.

HADOOP-18180. Replace use of twitter util-core with java futures (#4115)
	Contributed by PJ Fanning.

HADOOP-18177. Document prefetching architecture. (#4205)
	Contributed by Ahmar Suhail

HADOOP-18175. fix test failures with prefetching s3a input stream (#4212)
 Contributed by Monthon Klongklaew

HADOOP-18231.  S3A prefetching: fix failing tests & drain stream async.  (#4386)

	* adds in new test for prefetching input stream
	* creates streamStats before opening stream
	* updates numBlocks calculation method
	* fixes ITestS3AOpenCost.testOpenFileLongerLength
	* drains stream async
	* fixes failing unit test

	Contributed by Ahmar Suhail

HADOOP-18254. Disable S3A prefetching by default. (#4469)
	Contributed by Ahmar Suhail

HADOOP-18190. Collect IOStatistics during S3A prefetching (#4458)

	This adds iOStatisticsConnection to the S3PrefetchingInputStream class, with
	new statistic names in StreamStatistics.

	This stream is not (yet) IOStatisticsContext aware.

	Contributed by Ahmar Suhail

HADOOP-18379 rebase feature/HADOOP-18028-s3a-prefetch to trunk
HADOOP-18187. Convert s3a prefetching to use JavaDoc for fields and enums.
HADOOP-18318. Update class names to be clear they belong to S3A prefetching
	Contributed by Steve Loughran",['cd72f7e04280627c9a517dcc8a8ad8504c22569e'],61.0,59.0,9318.0,23.0,12704.0,HADOOP-18028,High performance S3A input stream with prefetching & caching,Improvement,Open,,0,0,2198.0,7.0,312.0,1.0
cde1f3af21b84a65fb27a5822b308413ea6296c5,slfan1989,2022-09-12 22:28:16+08:00,GitHub,2022-09-12 23:28:16+09:00,"HADOOP-18302. Remove WhiteBox in hadoop-common module. (#4457)

Signed-off-by: Akira Ajisaka <aajisaka@apache.org>",['1923096adb577b2455ab63cac811ce6254857ffe'],16.0,15.0,413.0,384.0,10603.0,HADOOP-18302,Remove WhiteBox in hadoop-common module.,Sub-task,Resolved,Fixed,0,0,2198.0,0.0,309.0,-3.0
747fb9210718ac505830cffab82d4e39d7bab639,Xing Lin,2022-09-23 10:37:51-07:00,GitHub,2022-09-23 10:37:51-07:00,"HADOOP-18444 Add Support for localized trash for ViewFileSystem in Trash.moveToAppropriateTrash (#4869)

* HADOOP-18444 Add Support for localized trash for ViewFileSystem in Trash.moveToAppropriateTrash

Signed-off-by: Xing Lin <xinglin@linkedin.com>",['0676495950fc7f2716a9b5ae7da622c3a8450f71'],2.0,2.0,65.0,1.0,149.0,HADOOP-18444,Add Support for localized trash for ViewFileSystem in Trash.moveToAppropriateTrash,Bug,Resolved,Fixed,0,0,2197.0,-1.0,311.0,2.0
f140506d6756f8d9aaeb728e5309ab27c513f996,FuzzingTeam,2022-10-25 22:25:49+05:18,GitHub,2022-10-25 18:07:49+01:00,"HADOOP-18504. Fixed an unhandled NullPointerException in class KeyProvider (#5064)


Contributed by FuzzingTeam",['0a26d84df105652489cb84379443b9efa0b40332'],2.0,2.0,5.0,1.0,660.0,HADOOP-18504, An unhandled NullPointerException in class KeyProvider,Bug,Resolved,Fixed,0,0,2196.0,-1.0,312.0,1.0
1cecf8ab7041fc4c69b376cc86b992b39ad2abc6,Steve Loughran,2022-12-14 14:01:28+00:00,GitHub,2022-12-14 14:01:28+00:00,"HADOOP-18183. s3a audit logs to publish range start/end of GET requests. (#5110)

The start and end of the range is set in a new audit param ""rg"",
e.g ""?rg=100-200""

Contributed by Ankit Saurabh",['85ec7969a7d7fe2168f1fceb8bce1f6388a8d46d'],5.0,4.0,102.0,0.0,648.0,HADOOP-18183,s3a audit logs to publish range start/end of GET requests in audit header,Sub-task,Open,,0,0,2197.0,1.0,312.0,0.0
