hash,author,author_date,committer,committer_date,msg,parents,num_of_files,num_of_modified_java_files,modified_java_file_name,change_type,changed_methods,added_lines,deleted_lines,nloc,file_old_path,file_new_path,jira issue key,summary,issue type,status,resolution
,,,,,,,,,ImportOperation.java,ModificationType.ADD,"['ImportOperation::importDir', 'ImportOperation::putParentsIfNotPresent', 'ImportOperation::getStatus', 'ImportOperation::getStore', 'ImportOperation::execute', 'ImportOperation::getFilesystem', 'ImportOperation::ImportOperation']",272.0,0.0,169.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\s3guard\ImportOperation.java,,,,,
,,,,,,,,,LocalMetadataStore.java,ModificationType.MODIFY,['LocalMetadataStore::prune'],10.0,2.0,467.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\s3guard\LocalMetadataStore.java,,,,,
,,,,,,,,,MetadataStore.java,ModificationType.MODIFY,"['initiateBulkWrite', 'getInstrumentation', 'markAsAuthoritative']",28.0,3.0,88.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\s3guard\MetadataStore.java,,,,,
,,,,,,,,,MetastoreInstrumentation.java,ModificationType.ADD,[],70.0,0.0,12.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\s3guard\MetastoreInstrumentation.java,,,,,
,,,,,,,,,MetastoreInstrumentationImpl.java,ModificationType.ADD,"['MetastoreInstrumentationImpl::recordsDeleted', 'MetastoreInstrumentationImpl::recordsWritten', 'MetastoreInstrumentationImpl::recordsRead', 'MetastoreInstrumentationImpl::entryAdded', 'MetastoreInstrumentationImpl::retrying', 'MetastoreInstrumentationImpl::directoryMarkedAuthoritative', 'MetastoreInstrumentationImpl::initialized', 'MetastoreInstrumentationImpl::storeClosed', 'MetastoreInstrumentationImpl::throttled']",72.0,0.0,30.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\s3guard\MetastoreInstrumentationImpl.java,,,,,
,,,,,,,,,NullMetadataStore.java,ModificationType.MODIFY,['NullMetadataStore::prune'],2.0,1.0,131.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\s3guard\NullMetadataStore.java,,,,,
,,,,,,,,,PathMetadataDynamoDBTranslation.java,ModificationType.MODIFY,['PathMetadataDynamoDBTranslation::authoritativeEmptyDirectoryMarker'],12.0,0.0,236.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\s3guard\PathMetadataDynamoDBTranslation.java,,,,,
,,,,,,,,,ProgressiveRenameTracker.java,ModificationType.MODIFY,"['ProgressiveRenameTracker::completeRename', 'ProgressiveRenameTracker::moveSourceDirectory']",4.0,2.0,124.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\s3guard\ProgressiveRenameTracker.java,,,,,
,,,,,,,,,S3Guard.java,ModificationType.MODIFY,"['S3Guard::putAndReturn', 'S3Guard::dirListingUnion', 'S3Guard::putAuthDirectoryMarker', 'S3Guard::putAndReturn', 'S3Guard::putAndReturn', 'S3Guard::putAndReturn']",39.0,17.0,505.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\s3guard\S3Guard.java,,,,,
,,,,,,,,,S3GuardTool.java,ModificationType.MODIFY,"['S3GuardTool::Import::run', 'S3GuardTool::Authoritative::getUsage', 'S3GuardTool::main', 'S3GuardTool::Authoritative::run', 'S3GuardTool::Import::importDir', 'S3GuardTool::initS3AFileSystem', 'S3GuardTool::Import::Import', 'S3GuardTool::run', 'S3GuardTool::BucketInfo::run', 'S3GuardTool::bindFilesystem', 'S3GuardTool::Authoritative::Authoritative', 'S3GuardTool::Authoritative::getName', 'S3GuardTool::close', 'S3GuardTool::Import::putParentsIfNotPresent', 'S3GuardTool::setFilesystem']",244.0,100.0,1482.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\s3guard\S3GuardTool.java,,,,,
,,,,,,,,,SelectTool.java,ModificationType.MODIFY,['SelectTool::run'],2.0,10.0,232.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\select\SelectTool.java,,,,,
,,,,,,,,,ITestS3AContractRename.java,ModificationType.MODIFY,"['ITestS3AContractRename::setup', 'ITestS3AContractRename::ITestS3AContractRename', 'ITestS3AContractRename::createConfiguration', 'ITestS3AContractRename::teardown', 'ITestS3AContractRename::params']",33.0,3.0,108.0,,hadoop-tools\hadoop-aws\src\test\java\org\apache\hadoop\fs\contract\s3a\ITestS3AContractRename.java,,,,,
,,,,,,,,,TestPartialDeleteFailures.java,ModificationType.MODIFY,['TestPartialDeleteFailures::OperationTrackingStore::prune'],3.0,2.0,304.0,,hadoop-tools\hadoop-aws\src\test\java\org\apache\hadoop\fs\s3a\impl\TestPartialDeleteFailures.java,,,,,
,,,,,,,,,AbstractS3GuardToolTestBase.java,ModificationType.MODIFY,"['AbstractS3GuardToolTestBase::testSetCapacityFailFastOnReadWriteOfZero', 'AbstractS3GuardToolTestBase::testDiffCommand', 'AbstractS3GuardToolTestBase::testToolsNoArgsForBucket', 'AbstractS3GuardToolTestBase::teardown', 'AbstractS3GuardToolTestBase::toClose', 'AbstractS3GuardToolTestBase::testSetCapacityFailFastIfNotGuarded', 'AbstractS3GuardToolTestBase::testBucketInfoUnguarded', 'AbstractS3GuardToolTestBase::testToolsNoBucket', 'AbstractS3GuardToolTestBase::testPruneCommand', 'AbstractS3GuardToolTestBase::testMaybeInitFilesystemNoPath', 'AbstractS3GuardToolTestBase::testPruneCommandTombstones', 'AbstractS3GuardToolTestBase::testMaybeInitFilesystem']",55.0,24.0,469.0,,hadoop-tools\hadoop-aws\src\test\java\org\apache\hadoop\fs\s3a\s3guard\AbstractS3GuardToolTestBase.java,,,,,
,,,,,,,,,ITestDynamoDBMetadataStore.java,ModificationType.MODIFY,"['ITestDynamoDBMetadataStore::testPruneFilesNotDirs', 'ITestDynamoDBMetadataStore::assertLastUpdated']",78.0,0.0,1036.0,,hadoop-tools\hadoop-aws\src\test\java\org\apache\hadoop\fs\s3a\s3guard\ITestDynamoDBMetadataStore.java,,,,,
,,,,,,,,,ITestDynamoDBMetadataStoreAuthoritativeMode.java,ModificationType.ADD,"['ITestDynamoDBMetadataStoreAuthoritativeMode::testRenameFile', 'ITestDynamoDBMetadataStoreAuthoritativeMode::assertListDoesNotUpdateAuth', 'ITestDynamoDBMetadataStoreAuthoritativeMode::testListStatusMakesEmptyDirAuth', 'ITestDynamoDBMetadataStoreAuthoritativeMode::testPruneTombstoneRetainsAuth', 'ITestDynamoDBMetadataStoreAuthoritativeMode::testListStatusMakesDirAuth', 'ITestDynamoDBMetadataStoreAuthoritativeMode::getAuthConf', 'ITestDynamoDBMetadataStoreAuthoritativeMode::f', 'ITestDynamoDBMetadataStoreAuthoritativeMode::testPruneFilesMarksNonAuth', 'ITestDynamoDBMetadataStoreAuthoritativeMode::testRenameWithNonEmptySubDir', 'ITestDynamoDBMetadataStoreAuthoritativeMode::assertPruned', 'ITestDynamoDBMetadataStoreAuthoritativeMode::testListLocatedStatusMarksDirAsAuth', 'ITestDynamoDBMetadataStoreAuthoritativeMode::createConfiguration', 'ITestDynamoDBMetadataStoreAuthoritativeMode::testMkDirAuth', 'ITestDynamoDBMetadataStoreAuthoritativeMode::testImportNonauthDir', 'ITestDynamoDBMetadataStoreAuthoritativeMode::importTool', 'ITestDynamoDBMetadataStoreAuthoritativeMode::expectAuthRecursive', 'ITestDynamoDBMetadataStoreAuthoritativeMode::toClose', 'ITestDynamoDBMetadataStoreAuthoritativeMode::testAuditS3GuardTool', 'ITestDynamoDBMetadataStoreAuthoritativeMode::expectNonauthRecursive', 'ITestDynamoDBMetadataStoreAuthoritativeMode::assertListUpdatesAuth', 'ITestDynamoDBMetadataStoreAuthoritativeMode::testDeleteSingleFileLeavesMarkersAlone', 'ITestDynamoDBMetadataStoreAuthoritativeMode::testRenameDirMarksDestAsAuth', 'ITestDynamoDBMetadataStoreAuthoritativeMode::expectAuthoritativeUpdate', 'ITestDynamoDBMetadataStoreAuthoritativeMode::teardown', 'ITestDynamoDBMetadataStoreAuthoritativeMode::testAuditS3GuardToolNonauthDir', 'ITestDynamoDBMetadataStoreAuthoritativeMode::testS3GuardImportMarksDirAsAuth', 'ITestDynamoDBMetadataStoreAuthoritativeMode::closeFileSystems', 'ITestDynamoDBMetadataStoreAuthoritativeMode::authTool', 'ITestDynamoDBMetadataStoreAuthoritativeMode::expectAuthNonRecursive', 'ITestDynamoDBMetadataStoreAuthoritativeMode::testAddFileMarksNonAuth', 'ITestDynamoDBMetadataStoreAuthoritativeMode::touchFile', 'ITestDynamoDBMetadataStoreAuthoritativeMode::testAuditS3GuardTooMissingDir', 'ITestDynamoDBMetadataStoreAuthoritativeMode::mkAuthDir', 'ITestDynamoDBMetadataStoreAuthoritativeMode::setup', 'ITestDynamoDBMetadataStoreAuthoritativeMode::testEmptyDirMarkerIsAuth', 'ITestDynamoDBMetadataStoreAuthoritativeMode::cleanupMethodPaths', 'ITestDynamoDBMetadataStoreAuthoritativeMode::testDeleteMultipleFileLeavesMarkersAlone']",732.0,0.0,480.0,,hadoop-tools\hadoop-aws\src\test\java\org\apache\hadoop\fs\s3a\s3guard\ITestDynamoDBMetadataStoreAuthoritativeMode.java,,,,,
,,,,,,,,,ITestS3GuardDDBRootOperations.java,ModificationType.MODIFY,['ITestS3GuardDDBRootOperations::test_100_FilesystemPrune'],1.0,0.0,204.0,,hadoop-tools\hadoop-aws\src\test\java\org\apache\hadoop\fs\s3a\s3guard\ITestS3GuardDDBRootOperations.java,,,,,
,,,,,,,,,ITestS3GuardToolDynamoDB.java,ModificationType.MODIFY,"['ITestS3GuardToolDynamoDB::testDynamoDBInitDestroyCycle', 'ITestS3GuardToolDynamoDB::testInvalidRegion']",51.0,51.0,274.0,,hadoop-tools\hadoop-aws\src\test\java\org\apache\hadoop\fs\s3a\s3guard\ITestS3GuardToolDynamoDB.java,,,,,
,,,,,,,,,ITestS3GuardToolLocal.java,ModificationType.MODIFY,"['ITestS3GuardToolLocal::testInfoBucketAndRegionNoFS', 'ITestS3GuardToolLocal::testImportNoFilesystem', 'ITestS3GuardToolLocal::uploadCommandAssertCount', 'ITestS3GuardToolLocal::testImportCommand', 'ITestS3GuardToolLocal::testStoreInfo', 'ITestS3GuardToolLocal::testImportCommandRepairsETagAndVersionId', 'ITestS3GuardToolLocal::testSetCapacity']",51.0,42.0,329.0,,hadoop-tools\hadoop-aws\src\test\java\org\apache\hadoop\fs\s3a\s3guard\ITestS3GuardToolLocal.java,,,,,
,,,,,,,,,MetadataStoreTestBase.java,ModificationType.MODIFY,"['MetadataStoreTestBase::putDir', 'MetadataStoreTestBase::putFile']",21.0,2.0,918.0,,hadoop-tools\hadoop-aws\src\test\java\org\apache\hadoop\fs\s3a\s3guard\MetadataStoreTestBase.java,,,,,
,,,,,,,,,S3GuardToolTestHelper.java,ModificationType.MODIFY,"['S3GuardToolTestHelper::expectExecResult', 'S3GuardToolTestHelper::exec', 'S3GuardToolTestHelper::exec']",33.0,3.0,57.0,,hadoop-tools\hadoop-aws\src\test\java\org\apache\hadoop\fs\s3a\s3guard\S3GuardToolTestHelper.java,,,,,
c4fb43c94259546f2c96b50ceae9cd3adb726166,Daryn Sharp,2020-01-10 10:31:39-06:00,Jonathan Eagles,2020-01-10 10:31:39-06:00,"HADOOP-16749. Configuration parsing of CDATA values are blank

Signed-off-by: Jonathan Eagles <jeagles@gmail.com>",['49df83899543586bbcaf80f01399ade031cf68b0'],2.0,2.0,,,,,,,,,HADOOP-16749,Configuration parsing of CDATA values are blank,Bug,Resolved,Fixed
,,,,,,,,,Configuration.java,ModificationType.MODIFY,['Configuration::Parser::parseNext'],1.0,0.0,2268.0,,hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\conf\Configuration.java,,,,,
,,,,,,,,,TestConfiguration.java,ModificationType.MODIFY,"['TestConfiguration::checkCDATA', 'TestConfiguration::testCDATA']",37.0,0.0,2137.0,,hadoop-common-project\hadoop-common\src\test\java\org\apache\hadoop\conf\TestConfiguration.java,,,,,
e589f6199c562cb1e478a38f5f2c5dee94880258,Eric Yang,2020-01-10 14:32:02-05:00,Eric Yang,2020-01-10 14:33:12-05:00,"HADOOP-16590.  Update OS login modules for IBM JDK.
               Contributed by Nicholas Marion

Close #1484",['5fb901ac4017b4f13b089ecd920e864cd53ad3a6'],1.0,1.0,,,,,,,,,HADOOP-16590,IBM Java has deprecated OS login module classes and OS principal classes.,Bug,Resolved,Fixed
,,,,,,,,,UserGroupInformation.java,ModificationType.MODIFY,"['UserGroupInformation::getOSLoginModuleName', 'UserGroupInformation::getOsPrincipalClass']",4.0,24.0,1448.0,,hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\UserGroupInformation.java,,,,,
26a969ec734dbdbf1d544f486dfa33f15c291789,Chen Liang,2020-01-10 17:05:48-08:00,Konstantin V Shvachko,2020-01-10 17:06:59-08:00,HDFS-15099. [SBN Read] checkOperation(WRITE) should throw ObserverRetryOnActiveException for ObserverNode. Contributed by Chen Liang.,['2301b25899b5ae293719f4b4dcb8584c20a36bd5'],4.0,4.0,,,,,,,,,,,,,
,,,,,,,,,RetryPolicies.java,ModificationType.MODIFY,"['RetryPolicies::shouldFailoverOnException', 'RetryPolicies::isWrappedStandbyException', 'RetryPolicies::FailoverOnNetworkExceptionRetry::shouldRetry']",5.0,3.0,525.0,,hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\io\retry\RetryPolicies.java,,,,,
,,,,,,,,,ObserverRetryOnActiveException.java,ModificationType.MODIFY,[],1.0,3.0,11.0,,hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\ipc\ObserverRetryOnActiveException.java,,,,,
,,,,,,,,,StandbyState.java,ModificationType.MODIFY,['StandbyState::checkOperation'],12.0,1.0,74.0,,hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\server\namenode\ha\StandbyState.java,,,,,
,,,,,,,,,TestObserverNode.java,ModificationType.MODIFY,"['TestObserverNode::testObserverRetryActiveException', 'TestObserverNode::testAccessTimeUpdateRedirectToActive']",47.0,0.0,297.0,,hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\hdfs\server\namenode\ha\TestObserverNode.java,,,,,
5d180463dcb689fa3b7c69b097a86398a03b41ad,David Mollitor,2020-01-15 18:38:34+00:00,Steve Loughran,2020-01-15 18:38:34+00:00,"HADOOP-16790. Add Write Convenience Methods.

Contributed by David Mollitor.

This adds operations in FileUtil to write text to a file via
either a FileSystem or FileContext instance.

Change-Id: I5fe8fcf1bdbdbc734e137f922a75a822f2b88410",['2aa065d98f36527d7769c9c58a923a706036391d'],2.0,2.0,,,,,,,,,HADOOP-16790,Add Write Convenience Methods,New Feature,Resolved,Fixed
,,,,,,,,,FileUtil.java,ModificationType.MODIFY,"['FileUtil::write', 'FileUtil::write', 'FileUtil::write', 'FileUtil::write', 'FileUtil::write', 'FileUtil::write', 'FileUtil::write', 'FileUtil::write']",236.0,0.0,1176.0,,hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\fs\FileUtil.java,,,,,
,,,,,,,,,TestFileUtil.java,ModificationType.MODIFY,"['TestFileUtil::testWriteStringFileSystem', 'TestFileUtil::testWriteBytesFileContext', 'TestFileUtil::testWriteStringsFileSystem', 'TestFileUtil::testWriteStringNoCharSetFileSystem', 'TestFileUtil::testWriteStringFileContext', 'TestFileUtil::testWriteStringNoCharSetFileContext', 'TestFileUtil::testWriteStringsFileContext', 'TestFileUtil::testWriteBytesFileSystem']",178.0,0.0,1141.0,,hadoop-common-project\hadoop-common\src\test\java\org\apache\hadoop\fs\TestFileUtil.java,,,,,
d7c4f8ab21c56a52afcfbd0a56d9120e61376d0c,Chao Sun,2020-01-15 17:22:47-08:00,Wei-Chiu Chuang,2020-01-15 17:22:47-08:00,HDFS-13616. Batch listing of multiple directories (#1725),['5d180463dcb689fa3b7c69b097a86398a03b41ad'],25.0,21.0,,,,,,,,,,,,,
,,,,,,,,,FileSystem.java,ModificationType.MODIFY,"['FileSystem::batchedListStatusIterator', 'FileSystem::batchedListLocatedStatusIterator']",27.0,0.0,2053.0,,hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\fs\FileSystem.java,,,,,
,,,,,,,,,PartialListing.java,ModificationType.ADD,"['PartialListing::toString', 'PartialListing::PartialListing', 'PartialListing::PartialListing', 'PartialListing::getListedPath', 'PartialListing::get', 'PartialListing::PartialListing']",91.0,0.0,45.0,,hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\fs\PartialListing.java,,,,,
,,,,,,,,,TestFilterFileSystem.java,ModificationType.MODIFY,[],5.0,0.0,264.0,,hadoop-common-project\hadoop-common\src\test\java\org\apache\hadoop\fs\TestFilterFileSystem.java,,,,,
,,,,,,,,,TestHarFileSystem.java,ModificationType.MODIFY,[],4.0,0.0,310.0,,hadoop-common-project\hadoop-common\src\test\java\org\apache\hadoop\fs\TestHarFileSystem.java,,,,,
,,,,,,,,,DFSClient.java,ModificationType.MODIFY,['DFSClient::batchedListPaths'],20.0,1.0,2265.0,,hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\DFSClient.java,,,,,
,,,,,,,,,DistributedFileSystem.java,ModificationType.MODIFY,"['DistributedFileSystem::PartialListingIterator::next', 'DistributedFileSystem::PartialListingIterator::hasNext', 'DistributedFileSystem::PartialListingIterator::PartialListingIterator', 'DistributedFileSystem::batchedListStatusIterator', 'DistributedFileSystem::batchedListLocatedStatusIterator']",111.0,0.0,2543.0,,hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\DistributedFileSystem.java,,,,,
,,,,,,,,,BatchedDirectoryListing.java,ModificationType.ADD,"['BatchedDirectoryListing::getStartAfter', 'BatchedDirectoryListing::BatchedDirectoryListing', 'BatchedDirectoryListing::hasMore', 'BatchedDirectoryListing::toString', 'BatchedDirectoryListing::getListings']",62.0,0.0,32.0,,hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\protocol\BatchedDirectoryListing.java,,,,,
,,,,,,,,,ClientProtocol.java,ModificationType.MODIFY,[],18.0,0.0,398.0,,hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\protocol\ClientProtocol.java,,,,,
,,,,,,,,,HdfsPartialListing.java,ModificationType.ADD,"['HdfsPartialListing::HdfsPartialListing', 'HdfsPartialListing::getException', 'HdfsPartialListing::getPartialListing', 'HdfsPartialListing::toString', 'HdfsPartialListing::HdfsPartialListing', 'HdfsPartialListing::HdfsPartialListing', 'HdfsPartialListing::getParentIdx']",82.0,0.0,48.0,,hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\protocol\HdfsPartialListing.java,,,,,
,,,,,,,,,ClientNamenodeProtocolTranslatorPB.java,ModificationType.MODIFY,['ClientNamenodeProtocolTranslatorPB::getBatchedListing'],50.0,0.0,1871.0,,hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\protocolPB\ClientNamenodeProtocolTranslatorPB.java,,,,,
,,,,,,,,,PBHelperClient.java,ModificationType.MODIFY,['PBHelperClient::convertHdfsFileStatus'],12.0,0.0,3084.0,,hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\protocolPB\PBHelperClient.java,,,,,
,,,,,,,,,TestReadOnly.java,ModificationType.MODIFY,[],1.0,0.0,74.0,,hadoop-hdfs-project\hadoop-hdfs-client\src\test\java\org\apache\hadoop\hdfs\protocol\TestReadOnly.java,,,,,
,,,,,,,,,RouterClientProtocol.java,ModificationType.MODIFY,['RouterClientProtocol::getBatchedListing'],7.0,0.0,1670.0,,hadoop-hdfs-project\hadoop-hdfs-rbf\src\main\java\org\apache\hadoop\hdfs\server\federation\router\RouterClientProtocol.java,,,,,
,,,,,,,,,RouterRpcServer.java,ModificationType.MODIFY,['RouterRpcServer::getBatchedListing'],8.0,0.0,1227.0,,hadoop-hdfs-project\hadoop-hdfs-rbf\src\main\java\org\apache\hadoop\hdfs\server\federation\router\RouterRpcServer.java,,,,,
,,,,,,,,,DFSConfigKeys.java,ModificationType.MODIFY,[],2.0,0.0,1501.0,,hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\DFSConfigKeys.java,,,,,
,,,,,,,,,ClientNamenodeProtocolServerSideTranslatorPB.java,ModificationType.MODIFY,['ClientNamenodeProtocolServerSideTranslatorPB::getBatchedListing'],60.0,2.0,1826.0,,hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\protocolPB\ClientNamenodeProtocolServerSideTranslatorPB.java,,,,,
,,,,,,,,,FSDirectory.java,ModificationType.MODIFY,['FSDirectory::getListLimit'],4.0,0.0,1392.0,,hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\server\namenode\FSDirectory.java,,,,,
,,,,,,,,,FSNamesystem.java,ModificationType.MODIFY,"['FSNamesystem::getSrcPathsHash', 'FSNamesystem::getBatchedListing', 'FSNamesystem::FSNamesystem']",175.0,2.0,6405.0,,hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\server\namenode\FSNamesystem.java,,,,,
,,,,,,,,,NameNodeRpcServer.java,ModificationType.MODIFY,['NameNodeRpcServer::getBatchedListing'],23.0,0.0,2273.0,,hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\server\namenode\NameNodeRpcServer.java,,,,,
,,,,,,,,,ListingBenchmark.java,ModificationType.ADD,['ListingBenchmark::main'],35.0,0.0,13.0,,hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\hdfs\ListingBenchmark.java,,,,,
